"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,827,069","100"
"2","apple.com","4,590,118","100"
"3","www.google.com","12,134,439","100"
"4","www.blogger.com","25,292,783","99"
"5","support.google.com","4,576,360","99"
"6","docs.google.com","2,272,682","99"
"7","play.google.com","2,382,793","99"
"8","microsoft.com","4,614,097","99"
"9","en.wikipedia.org","5,465,569","98"
"10","adobe.com","2,847,024","98"
"11","wordpress.org","9,980,642","98"
"12","maps.google.com","4,375,939","98"
"13","plus.google.com","11,765,237","98"
"14","linkedin.com","8,917,326","98"
"15","cloudflare.com","5,238,040","98"
"16","drive.google.com","1,794,534","97"
"17","sites.google.com","1,700,096","97"
"18","mozilla.org","1,947,632","97"
"19","youtu.be","3,935,745","97"
"20","vimeo.com","3,109,525","97"
"21","europa.eu","1,683,309","97"
"22","accounts.google.com","2,533,160","97"
"23","googleusercontent.com","2,160,378","97"
"24","amazon.com","4,011,996","96"
"25","facebook.com","45,670,453","96"
"26","bbc.co.uk","1,417,481","96"
"27","line.me","613,089","96"
"28","vk.com","1,593,504","96"
"29","bp.blogspot.com","15,975,388","96"
"30","creativecommons.org","1,558,049","96"
"31","istockphoto.com","3,094,515","96"
"32","github.com","2,018,574","96"
"33","es.wikipedia.org","777,289","96"
"34","medium.com","1,136,015","96"
"35","buydomains.com","1,137,351","95"
"36","reuters.com","729,883","95"
"37","developers.google.com","906,511","95"
"38","myspace.com","1,248,626","95"
"39","get.google.com","646,487","95"
"40","google.com.br","262,914","95"
"41","dropbox.com","934,646","95"
"42","nih.gov","1,056,042","95"
"43","forbes.com","1,152,631","95"
"44","google.es","413,651","95"
"45","dailymotion.com","1,066,043","95"
"46","bbc.com","669,894","95"
"47","cnn.com","1,225,428","95"
"48","t.me","541,183","95"
"49","news.google.com","688,285","95"
"50","google.co.jp","629,176","95"
"51","slideshare.net","876,912","95"
"52","gstatic.com","584,123","95"
"53","aliexpress.com","438,830","95"
"54","photos.google.com","230,594","95"
"55","jimdofree.com","1,664,503","95"
"56","nytimes.com","1,688,724","95"
"57","uol.com.br","561,736","95"
"58","fr.wikipedia.org","538,920","95"
"59","pt.wikipedia.org","358,011","95"
"60","mail.google.com","438,667","95"
"61","google.co.uk","541,268","95"
"62","mail.ru","476,312","95"
"63","w3.org","1,058,581","95"
"64","imdb.com","1,226,962","95"
"65","whatsapp.com","1,854,715","95"
"66","www.yahoo.com","916,353","95"
"67","wikimedia.org","1,370,296","95"
"68","theguardian.com","1,201,608","95"
"69","google.de","1,088,152","95"
"70","policies.google.com","1,125,155","95"
"71","live.com","737,570","95"
"72","google.fr","380,821","95"
"73","feedburner.com","1,725,759","95"
"74","hugedomains.com","4,989,846","95"
"75","msn.com","986,719","95"
"76","globo.com","383,248","95"
"77","paypal.com","909,178","95"
"78","who.int","2,068,210","95"
"79","opera.com","756,347","94"
"80","harvard.edu","588,125","94"
"81","office.com","351,321","94"
"82","issuu.com","844,583","94"
"83","huffingtonpost.com","876,161","94"
"84","steampowered.com","217,138","94"
"85","bit.ly","4,064,475","94"
