"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,827,069","100"
"2","apple.com","4,590,118","100"
"3","www.google.com","12,134,439","100"
"4","www.blogger.com","25,292,783","99"
"8","microsoft.com","4,614,097","99"
"9","en.wikipedia.org","5,465,569","98"
"10","adobe.com","2,847,024","98"
"11","wordpress.org","9,980,642","98"
"14","linkedin.com","8,917,326","98"
"15","cloudflare.com","5,238,040","98"
"18","mozilla.org","1,947,632","97"
"19","youtu.be","3,935,745","97"
"20","vimeo.com","3,109,525","97"
"21","europa.eu","1,683,309","97"
"24","amazon.com","4,011,996","96"
"25","facebook.com","45,670,453","96"
"27","line.me","613,089","96"
"28","vk.com","1,593,504","96"
"29","bp.blogspot.com","15,975,388","96"
"30","creativecommons.org","1,558,049","96"
"31","istockphoto.com","3,094,515","96"
"32","github.com","2,018,574","96"
"34","medium.com","1,136,015","96"
"35","buydomains.com","1,137,351","95"
"36","reuters.com","729,883","95"
"37","developers.google.com","906,511","95"
"38","myspace.com","1,248,626","95"
"41","dropbox.com","934,646","95"
"42","nih.gov","1,056,042","95"
"43","forbes.com","1,152,631","95"
"45","dailymotion.com","1,066,043","95"
"46","bbc.com","669,894","95"
"47","cnn.com","1,225,428","95"
"48","t.me","541,183","95"
"51","slideshare.net","876,912","95"
